label,text,text_normalized,text_clean,lexicon_score,num_chars,num_words,num_sentences,has_phone,has_url,has_money,has_free,uppercase_ratio,punct_density,digit_ratio,exclamation_count,all_caps_words,avg_word_len,currency_count,y_true,y_pred,y_prob
ham,<#> Ma OTP BE GROUP cua ban la 5820,<#> ma otp be group cua ban la 5820,ma otp be group cua ban_la,0.4472995605763237,35,9,1,0,0,0,0,0.3142857142857143,0.0285714285714285,0.1142857142857142,0,3,3.0,0,0,1,0.8625327046824279
ham,"Thanh toan hoa don SPayLater voi so tien 526,750 VND trong HOM NAY de tranh gian doan viec mua sam bang SPayLater ban nhe!","thanh toan hoa don spaylater voi so tien 526,750 vnd trong hom nay de tranh gian doan viec mua sam bang spaylater ban nhe!",thanh_toan hoa don spaylater voi tien vnd hom de tranh_gian doan viec mua sam_bang spaylater ban nhe,0.444192021240394,122,24,2,0,0,1,0,0.1311475409836065,0.0081967213114754,0.0491803278688524,1,3,4.125,0,0,1,0.8033402910865918
ham,Cam on Quy vi da ung ho so tien la 20.000 dong de phong chong dich COVID19. Chi tiet 19001530 nhanh 6 hoac 024 44501107. Website:1400.vn,cam on quy vi da ung ho so tien la 20.000 dong de phong chong dich covid19. chi tiet 19001530 nhanh 6 hoac 024 44501107. website:1400.vn,cam on quy_vi da ung_ho tien la dong_de phong_chong dich covid chi tiet hoac website vn,0.3733343793817497,136,26,5,1,0,0,0,0.0661764705882353,0.0,0.2279411764705882,0,1,4.269230769230769,0,0,1,0.731707686721752
ham,"Thêm hộ t cái footnote này vào bài nhé: CLB Chuyển đổi số trong Giáo dục - SoDiTEC ---Connecting Learners, Innovating Education--- 📞 Hotline: 0389044706 (Mr. Tú) 📩 Email: hls@soict.hust.edu.vn 📫 Page: https://www.facebook.com/soditec.soict.hust","thêm hộ t cái footnote này vào bài nhé: clb chuyển đổi số trong giáo dục - soditec ---connecting learners, innovating education--- 📞 hotline: 0389044706 (mr. tú) 📩 email: hls@soict.hust.edu.vn 📫 page: https://www.facebook.com/soditec.soict.hust",hộ footnote clb chuyển_đổi giáo_dục soditec connecting learners innovating education _hotline phonenumber mr tú _email hls soict hust edu vn _page url,0.0623119891564108,244,33,9,1,0,0,0,0.081967213114754,0.0040983606557377,0.040983606557377,0,1,6.424242424242424,2,0,1,0.705003817211717
ham,Ngày sinh: 01/11/2001 Số CMT: 001302517251 Giới tính: Nữ SĐT: 0399516162 Email: khsedx@gmail.com Cấp độ thi: HSK 5 E cảm ơn ạ,ngày sinh: 01/11/2001 số cmt: 001302517251 giới tính: nữ số điện thoại: 0399516162 email: khsedx@gmail.com cấp độ thi: hsk 5 e cảm ơn ạ,ngày_sinh cmt giới_tính nữ điện_thoại phonenumber email khsedx gmail com cấp_độ thi hsk cảm_ơn,-0.0799238587638584,125,22,2,1,0,0,0,0.128,0.008,0.248,0,3,4.727272727272728,4,0,1,0.5810644420125002
ham,"TK ViettelPay 9704...0219 GD -7,654,258 VND luc 2023-12-01 15:12:51 So du 0 VND Phi: -0 VND ND: GD chuyen tien 231201762818864 Nguyen Nhu Giap chuyen tien tu Viettel Money","tài khoản viettelpay 9704...0219 gd -7,654,258 vnd luc 2023-12-01 15:12:51 so du 0 vnd phi: -0 vnd nd: gd chuyen tien 231201762818864 nguyen nhu giap chuyen tien tu viettel money",tài_khoản viettelpay gd vnd luc so_du vnd_phi vnd nd gd chuyen tien _nguyen nhu_giap chuyen tien tu viettel money,0.1615991734578538,171,29,4,0,0,1,0,0.1520467836257309,0.0,0.2690058479532163,0,7,4.931034482758621,1,0,1,0.5152121240085037
ham,Playlist này hợp mood phết https://www.youtube.com/watch?v=LPa57mUEx90&list=PLMHSr8fseBzUHy1RaUmnpGH0bPFmUk7VS&index=4,playlist này hợp mood phết https://www.youtube.com/watch?v=lpa57muex90&list=plmhsr8fsebzuhy1raumnpgh0bpfmuk7vs&index=4,playlist hợp mood phết url,-0.1229884797482955,118,6,4,0,1,0,0,0.1864406779661017,0.0254237288135593,0.0762711864406779,0,0,18.83333333333333,1,0,1,0.43835264985897127
ham,"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ....","phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ....",phí dịch_vụ tiền nội_mạng trừ_phí tởm thái_độ làm_việc bố_láo ưu_đãi,0.2197365369892486,113,28,5,0,0,0,1,0.0,0.0,0.0,0,0,3.071428571428572,2,0,1,0.41083106901759503
ham,Spa Hạnh Hương số 2 ngõ 160 phố thái thịnh đống đa hn 0979983638,spa hạnh hương số 2 ngõ 160 phố thái thịnh đống đa hn 0979983638,spa hạnh_hương ngõ phố thái_thịnh đống đa_hn phonenumber,-0.0501710373054273,64,14,1,1,0,0,0,0.046875,0.0,0.21875,0,0,3.642857142857143,2,0,1,0.3382709281540462
ham,"ờ đúng rồi , có thể chỉ là đang lợi dụng mày viết content free xong thích là sửa thôi hihi","ờ đúng rồi , có thể chỉ là đang lợi dụng mày viết content free xong thích là sửa thôi hihi",có_thể lợi_dụng mày viết content free xong sửa hihi,0.0358237340409357,90,21,1,0,0,0,1,0.0,0.0,0.0,0,0,3.333333333333333,2,0,1,0.32128226550844297
